participant,trial,condition,rt_ms,correct
sub-002,89,incongruent,660.7,1
sub-002,90,congruent,486.4,1
sub-002,91,incongruent,527.7,1
sub-002,92,incongruent,551.6,1
sub-002,93,congruent,619.3,1
sub-002,94,incongruent,545.4,1
sub-002,95,congruent,422.5,1
sub-002,96,incongruent,587.1,0
sub-002,97,incongruent,720.5,0
sub-002,98,incongruent,612.3,1
sub-002,99,congruent,523.7,1
sub-002,100,incongruent,503.5,1
sub-003,1,incongruent,679.6,1
sub-003,2,congruent,363.5,1
sub-003,3,congruent,439.5,1
sub-003,4,congruent,443.9,1
sub-003,5,congruent,563.9,1
sub-003,6,incongruent,656.7,1
sub-003,7,congruent,494.6,1
sub-003,8,congruent,619.2,1
sub-003,9,congruent,496.7,1
sub-003,10,incongruent,651.1,1
sub-003,11,incongruent,667.8,1
sub-003,12,congruent,510.8,1
sub-003,13,congruent,588.9,1
sub-003,14,incongruent,591.8,1
sub-003,15,congruent,519.9,1
sub-003,16,incongruent,622.9,1
sub-003,17,congruent,570.3,1
sub-003,18,incongruent,709.1,1
sub-003,19,incongruent,566.4,1
sub-003,20,congruent,431.3,1
sub-003,21,incongruent,658.8,1
sub-003,22,congruent,384.8,1
sub-003,23,incongruent,619.0,1
sub-003,24,congruent,558.8,1
sub-003,25,congruent,407.1,1
sub-003,26,congruent,466.5,1
sub-003,27,incongruent,595.7,1
sub-003,28,incongruent,608.1,1
sub-003,29,congruent,520.9,1
sub-003,30,congruent,547.1,1
sub-003,31,incongruent,660.8,1
sub-003,32,incongruent,513.0,1
sub-003,33,incongruent,696.9,1
sub-003,34,congruent,502.5,1
sub-003,35,incongruent,588.7,1
sub-003,36,incongruent,688.1,1
sub-003,37,congruent,486.2,1
sub-003,38,incongruent,558.8,1
sub-003,39,incongruent,493.1,1
sub-003,40,congruent,603.2,1
sub-003,41,incongruent,499.9,1
sub-003,42,incongruent,530.3,1
sub-003,43,congruent,383.0,1
sub-003,44,incongruent,590.0,1
sub-003,45,incongruent,494.5,0
sub-003,46,congruent,597.6,1
sub-003,47,congruent,476.7,1
sub-003,48,incongruent,540.1,0
sub-003,49,incongruent,640.5,1
sub-003,50,incongruent,545.9,1
sub-003,51,congruent,513.2,1
sub-003,52,congruent,580.5,1
sub-003,53,congruent,469.1,1
sub-003,54,congruent,497.3,1
sub-003,55,incongruent,567.9,1
sub-003,56,congruent,501.1,1
sub-003,57,incongruent,814.8,1
sub-003,58,incongruent,477.4,1
sub-003,59,congruent,580.8,1
sub-003,60,congruent,525.2,1
sub-003,61,incongruent,570.7,1
sub-003,62,congruent,587.5,1
sub-003,63,incongruent,697.3,1
sub-003,64,congruent,463.0,1
sub-003,65,incongruent,610.3,1
sub-003,66,incongruent,576.4,1
sub-003,67,congruent,550.8,1
sub-003,68,congruent,533.1,1
sub-003,69,incongruent,614.9,1
sub-003,70,congruent,549.5,1
sub-003,71,congruent,554.7,1
sub-003,72,congruent,618.1,1
sub-003,73,incongruent,560.1,1
sub-003,74,congruent,517.3,1
sub-003,75,congruent,680.7,0
sub-003,76,incongruent,574.7,1
sub-003,77,congruent,601.6,1
sub-003,78,congruent,457.9,1
sub-003,79,incongruent,663.4,1
sub-003,80,incongruent,604.8,1
sub-003,81,incongruent,642.8,1
sub-003,82,incongruent,597.2,1
sub-003,83,congruent,605.9,1
sub-003,84,incongruent,613.7,1
sub-003,85,congruent,510.7,1
sub-003,86,incongruent,647.2,1
sub-003,87,congruent,475.5,1
sub-003,88,congruent,369.5,1
sub-003,89,incongruent,518.5,0
sub-003,90,incongruent,569.5,1
sub-003,91,congruent,633.3,1
sub-003,92,incongruent,764.4,1
sub-003,93,congruent,434.1,1
sub-003,94,congruent,532.1,1
sub-003,95,incongruent,572.0,1
sub-003,96,incongruent,632.6,1
sub-003,97,congruent,438.1,1
sub-003,98,incongruent,639.6,0
sub-003,99,incongruent,564.3,1
sub-003,100,incongruent,538.7,1
sub-004,1,congruent,572.3,1
sub-004,2,incongruent,643.3,1
sub-004,3,congruent,591.8,1
sub-004,4,incongruent,727.5,1
sub-004,5,incongruent,816.0,1
sub-004,6,incongruent,755.2,1
sub-004,7,incongruent,676.4,0
sub-004,8,congruent,504.3,1
sub-004,9,incongruent,577.7,0
sub-004,10,congruent,609.2,1
sub-004,11,incongruent,736.1,1
sub-004,12,congruent,641.7,1
sub-004,13,incongruent,677.2,1
sub-004,14,congruent,546.4,1
sub-004,15,congruent,540.1,1
sub-004,16,incongruent,710.6,1
sub-004,17,congruent,411.1,1
sub-004,18,congruent,431.7,1
sub-004,19,congruent,383.6,1
sub-004,20,congruent,515.9,1
sub-004,21,incongruent,648.2,0
sub-004,22,congruent,622.4,0
sub-004,23,congruent,547.4,0
sub-004,24,congruent,579.0,1
sub-004,25,congruent,536.7,1
sub-004,26,incongruent,624.2,1
sub-004,27,incongruent,584.8,1
sub-004,28,incongruent,672.5,1
sub-004,29,incongruent,653.9,1
sub-004,30,congruent,475.6,1
sub-004,31,incongruent,619.6,0
sub-004,32,incongruent,586.4,1
sub-004,33,incongruent,600.6,1
sub-004,34,incongruent,736.8,1
sub-004,35,congruent,568.6,1
sub-004,36,congruent,578.5,1
sub-004,37,congruent,482.6,1
sub-004,38,incongruent,618.6,1
sub-004,39,incongruent,735.3,1
sub-004,40,incongruent,611.5,1
sub-004,41,congruent,503.7,1
sub-004,42,incongruent,699.3,1
sub-004,43,congruent,620.7,1
sub-004,44,congruent,624.5,1
sub-004,45,congruent,558.6,1
sub-004,46,congruent,504.0,1
sub-004,47,incongruent,679.4,1
sub-004,48,incongruent,689.2,1
sub-004,49,congruent,530.1,1
sub-004,50,congruent,529.2,1
sub-004,51,congruent,593.9,1
sub-004,52,congruent,672.1,1
sub-004,53,congruent,435.4,1
sub-004,54,congruent,547.0,1
sub-004,55,incongruent,553.3,1
sub-004,56,incongruent,660.7,1
sub-004,57,congruent,524.2,1
sub-004,58,incongruent,788.5,0
sub-004,59,incongruent,691.2,0
sub-004,60,incongruent,586.9,0
sub-004,61,incongruent,757.4,1
sub-004,62,incongruent,555.7,1
sub-004,63,incongruent,701.2,1
sub-004,64,incongruent,774.1,1
sub-004,65,incongruent,682.3,1
sub-004,66,congruent,591.7,1
sub-004,67,congruent,580.1,1
sub-004,68,incongruent,648.5,1
sub-004,69,congruent,564.4,1
sub-004,70,congruent,448.4,1
sub-004,71,incongruent,694.9,1
sub-004,72,incongruent,613.0,1
sub-004,73,incongruent,713.1,1
sub-004,74,congruent,525.4,1
sub-004,75,incongruent,651.2,1
sub-004,76,incongruent,644.1,1
sub-004,77,incongruent,605.2,1
sub-004,78,congruent,580.8,0
sub-004,79,incongruent,641.2,1
sub-004,80,congruent,478.4,1
sub-004,81,incongruent,628.0,0
sub-004,82,incongruent,646.0,1
sub-004,83,congruent,571.9,1
sub-004,84,incongruent,670.7,1
sub-004,85,congruent,515.4,1
sub-004,86,congruent,563.8,1
sub-004,87,congruent,691.1,1
sub-004,88,incongruent,639.4,1
sub-004,89,congruent,361.8,1
sub-004,90,congruent,470.7,1
sub-004,91,incongruent,614.0,1
sub-004,92,incongruent,733.5,0
sub-004,93,incongruent,736.1,1
sub-004,94,congruent,512.9,1
sub-004,95,congruent,559.1,1
sub-004,96,congruent,537.7,1
sub-004,97,congruent,463.1,1
sub-004,98,congruent,550.0,1
sub-004,99,congruent,568.2,1
sub-004,100,incongruent,586.7,1
sub-005,1,incongruent,620.5,1
sub-005,2,incongruent,806.1,1
sub-005,3,incongruent,520.9,1
sub-005,4,incongruent,484.3,1
sub-005,5,incongruent,686.6,1
sub-005,6,congruent,476.3,1
sub-005,7,congruent,574.9,1
sub-005,8,incongruent,617.3,1
sub-005,9,incongruent,652.5,1
sub-005,10,congruent,588.4,1
sub-005,11,congruent,576.1,1
sub-005,12,congruent,553.2,1
sub-005,13,incongruent,641.2,1
sub-005,14,incongruent,658.3,1
sub-005,15,incongruent,627.6,0
sub-005,16,incongruent,748.8,1
sub-005,17,incongruent,602.9,1
sub-005,18,incongruent,690.0,1
sub-005,19,incongruent,693.7,1
sub-005,20,congruent,454.2,1
sub-005,21,incongruent,692.8,1
sub-005,22,congruent,643.4,1
sub-005,23,incongruent,657.8,1
sub-005,24,congruent,613.5,1
sub-005,25,congruent,565.3,1
sub-005,26,incongruent,682.6,1
sub-005,27,incongruent,727.7,1
sub-005,28,congruent,558.8,1
sub-005,29,incongruent,708.9,1
sub-005,30,congruent,468.8,1
sub-005,31,congruent,576.2,1
sub-005,32,congruent,454.4,1
sub-005,33,incongruent,645.1,1
sub-005,34,incongruent,627.7,1
sub-005,35,incongruent,699.0,1
sub-005,36,congruent,542.2,1
sub-005,37,congruent,690.5,1
sub-005,38,incongruent,646.5,1
sub-005,39,congruent,500.7,1
sub-005,40,incongruent,536.6,1
sub-005,41,congruent,568.0,1
sub-005,42,congruent,547.9,1
sub-005,43,congruent,619.7,1
sub-005,44,congruent,626.4,1
sub-005,45,incongruent,722.1,1
sub-005,46,congruent,509.8,1
sub-005,47,incongruent,591.3,0
sub-005,48,incongruent,644.6,1
sub-005,49,congruent,510.5,1
sub-005,50,incongruent,680.8,1
sub-005,51,congruent,550.1,1
sub-005,52,incongruent,718.5,1
sub-005,53,congruent,535.4,1
sub-005,54,congruent,449.2,1
sub-005,55,incongruent,716.6,1
sub-005,56,incongruent,839.3,1
sub-005,57,congruent,611.1,1
sub-005,58,congruent,468.4,0
sub-005,59,congruent,472.9,0
sub-005,60,incongruent,776.3,1
sub-005,61,congruent,560.7,1
sub-005,62,congruent,568.9,1
sub-005,63,congruent,532.3,1
sub-005,64,congruent,634.1,1
sub-005,65,incongruent,685.8,1
sub-005,66,incongruent,593.8,1
sub-005,67,congruent,537.0,1
sub-005,68,congruent,550.8,1
sub-005,69,incongruent,641.2,1
sub-005,70,congruent,617.9,1
sub-005,71,congruent,512.9,1
sub-005,72,incongruent,644.2,0
sub-005,73,congruent,676.4,1
sub-005,74,incongruent,785.2,0
sub-005,75,incongruent,795.7,1
sub-005,76,congruent,596.8,1
sub-005,77,congruent,624.2,1
sub-005,78,congruent,517.8,1
sub-005,79,incongruent,626.6,1
sub-005,80,congruent,472.9,1
sub-005,81,congruent,602.0,1
sub-005,82,incongruent,718.8,1
sub-005,83,congruent,608.5,0
sub-005,84,incongruent,650.9,1
sub-005,85,congruent,545.1,1
sub-005,86,incongruent,734.1,0
sub-005,87,incongruent,606.7,1
sub-005,88,incongruent,685.6,1
sub-005,89,incongruent,752.2,1
sub-005,90,incongruent,707.0,1
sub-005,91,congruent,596.4,1
sub-005,92,congruent,603.3,1
sub-005,93,congruent,600.8,1
sub-005,94,congruent,561.2,1
sub-005,95,incongruent,563.3,1
sub-005,96,incongruent,551.0,1
sub-005,97,congruent,587.5,1
sub-005,98,incongruent,657.0,0
sub-005,99,incongruent,790.4,1
sub-005,100,congruent,579.3,1
sub-006,1,congruent,658.5,1
sub-006,2,incongruent,792.8,1
sub-006,3,incongruent,746.0,1
sub-006,4,congruent,543.9,1
sub-006,5,congruent,387.7,1
sub-006,6,congruent,556.0,1
sub-006,7,incongruent,654.1,1
sub-006,8,congruent,650.5,1
sub-006,9,incongruent,676.3,1
sub-006,10,incongruent,670.1,1
sub-006,11,congruent,512.3,0
sub-006,12,congruent,571.4,1
sub-006,13,congruent,511.1,1
sub-006,14,congruent,577.0,1
sub-006,15,congruent,623.8,1
sub-006,16,incongruent,696.9,1
sub-006,17,congruent,584.7,1
sub-006,18,incongruent,732.4,1
sub-006,19,incongruent,733.5,1
sub-006,20,incongruent,587.8,0
sub-006,21,congruent,484.6,1
sub-006,22,congruent,560.2,1
sub-006,23,congruent,564.2,0
sub-006,24,incongruent,695.6,1
sub-006,25,incongruent,527.4,1
sub-006,26,incongruent,622.0,1
sub-006,27,incongruent,556.1,1
sub-006,28,congruent,642.5,0
sub-006,29,congruent,429.7,1
sub-006,30,incongruent,692.4,1
sub-006,31,incongruent,737.6,1
sub-006,32,congruent,473.1,1
sub-006,33,incongruent,599.8,0
sub-006,34,congruent,520.5,1
sub-006,35,incongruent,539.6,1
sub-006,36,congruent,522.4,1
sub-006,37,congruent,486.4,1
sub-006,38,congruent,554.6,0
sub-006,39,congruent,397.5,1
sub-006,40,congruent,571.1,1
sub-006,41,congruent,593.3,1
sub-006,42,incongruent,625.4,1
sub-006,43,congruent,553.5,1
sub-006,44,incongruent,678.4,1
sub-006,45,congruent,632.4,1
sub-006,46,incongruent,731.4,1
sub-006,47,incongruent,677.0,1
sub-006,48,incongruent,570.1,1
sub-006,49,incongruent,594.4,0
sub-006,50,congruent,498.6,1
sub-006,51,congruent,474.5,1
sub-006,52,incongruent,638.6,1
sub-006,53,incongruent,755.8,1
sub-006,54,congruent,541.2,1
sub-006,55,congruent,595.2,1
sub-006,56,incongruent,683.1,1
sub-006,57,congruent,520.8,1
sub-006,58,incongruent,637.3,0
sub-006,59,incongruent,604.3,1
sub-006,60,incongruent,691.5,1
sub-006,61,congruent,620.5,1
sub-006,62,incongruent,677.6,1
sub-006,63,congruent,577.6,1
sub-006,64,congruent,464.8,1
sub-006,65,congruent,507.8,1
sub-006,66,congruent,527.6,1
sub-006,67,incongruent,696.5,1
sub-006,68,congruent,526.3,1
sub-006,69,congruent,527.6,1
sub-006,70,incongruent,667.2,0
sub-006,71,congruent,561.7,1
sub-006,72,incongruent,708.2,1
sub-006,73,incongruent,656.2,1
sub-006,74,incongruent,627.8,1
sub-006,75,incongruent,632.1,1
sub-006,76,incongruent,792.3,1
sub-006,77,incongruent,703.2,1
sub-006,78,congruent,588.7,1
sub-006,79,incongruent,735.2,0
sub-006,80,congruent,535.0,1
sub-006,81,congruent,551.2,1
sub-006,82,incongruent,708.8,0
sub-006,83,incongruent,583.8,0
sub-006,84,congruent,556.8,1
sub-006,85,congruent,484.9,1
sub-006,86,incongruent,633.9,1
sub-006,87,incongruent,700.4,1
sub-006,88,congruent,709.9,1
sub-006,89,incongruent,571.9,1
sub-006,90,incongruent,549.3,1
sub-006,91,congruent,535.5,1
sub-006,92,incongruent,551.8,1
sub-006,93,incongruent,672.3,1
sub-006,94,congruent,393.2,1
sub-006,95,congruent,558.0,1
sub-006,96,incongruent,677.8,1
sub-006,97,incongruent,621.3,1
sub-006,98,congruent,607.8,1
sub-006,99,congruent,541.1,1
sub-006,100,incongruent,722.5,1
sub-007,1,congruent,592.7,1
sub-007,2,congruent,467.7,1
sub-007,3,incongruent,677.1,1
sub-007,4,incongruent,616.8,1
sub-007,5,congruent,549.3,1
sub-007,6,congruent,512.0,1
sub-007,7,congruent,478.2,1
sub-007,8,congruent,485.3,1
sub-007,9,congruent,572.7,1
sub-007,10,incongruent,638.2,1
sub-007,11,incongruent,607.5,1
sub-007,12,congruent,560.0,1
sub-007,13,congruent,577.7,1
sub-007,14,incongruent,678.3,1
sub-007,15,incongruent,602.1,1
sub-007,16,incongruent,761.0,1
sub-007,17,incongruent,683.5,1
sub-007,18,congruent,644.7,1
sub-007,19,congruent,545.4,1
sub-007,20,congruent,613.0,1
sub-007,21,congruent,444.5,1
sub-007,22,congruent,528.7,1
sub-007,23,incongruent,657.7,1
sub-007,24,congruent,667.0,1
sub-007,25,congruent,515.3,1
sub-007,26,congruent,472.0,1
sub-007,27,incongruent,652.2,1
sub-007,28,congruent,503.5,1
sub-007,29,incongruent,685.1,1
sub-007,30,incongruent,622.3,1
sub-007,31,congruent,490.3,1
sub-007,32,incongruent,735.6,1
sub-007,33,congruent,405.5,1
sub-007,34,incongruent,733.5,1
sub-007,35,incongruent,749.6,1
sub-007,36,congruent,614.8,1
sub-007,37,incongruent,579.3,1
sub-007,38,incongruent,590.9,1
sub-007,39,incongruent,678.5,1
sub-007,40,congruent,556.0,1
sub-007,41,congruent,450.4,1
sub-007,42,congruent,624.3,1
sub-007,43,incongruent,796.8,1
sub-007,44,incongruent,646.1,1
sub-007,45,incongruent,664.5,1
sub-007,46,congruent,669.4,1
sub-007,47,incongruent,708.5,1
sub-007,48,incongruent,707.5,1
sub-007,49,congruent,564.9,1
sub-007,50,congruent,422.3,1
sub-007,51,incongruent,621.1,1
sub-007,52,incongruent,773.2,1
sub-007,53,incongruent,612.7,0
sub-007,54,congruent,624.2,1
sub-007,55,congruent,594.2,1
sub-007,56,congruent,495.4,1
sub-007,57,incongruent,737.5,1
sub-007,58,incongruent,722.0,0
sub-007,59,congruent,677.8,1
sub-007,60,incongruent,698.7,1
sub-007,61,congruent,563.9,1
sub-007,62,incongruent,615.9,1
sub-007,63,incongruent,814.0,1
sub-007,64,incongruent,544.9,1
sub-007,65,incongruent,696.6,1
sub-007,66,incongruent,712.6,0
sub-007,67,congruent,582.1,1
sub-007,68,congruent,583.3,1
sub-007,69,incongruent,683.7,1
sub-007,70,incongruent,794.4,1
sub-007,71,congruent,628.9,1
sub-007,72,congruent,618.5,1
sub-007,73,incongruent,847.6,1
sub-007,74,congruent,509.0,1
sub-007,75,incongruent,675.0,1
sub-007,76,incongruent,700.8,1
sub-007,77,incongruent,600.7,1
sub-007,78,congruent,632.7,1
sub-007,79,incongruent,661.4,1
sub-007,80,incongruent,695.6,1
sub-007,81,congruent,580.2,1
sub-007,82,congruent,553.1,0
sub-007,83,incongruent,624.9,1
sub-007,84,congruent,574.9,1
sub-007,85,congruent,480.3,1
sub-007,86,congruent,556.0,1
sub-007,87,congruent,527.0,1
sub-007,88,congruent,592.1,1
sub-007,89,incongruent,723.3,1
sub-007,90,incongruent,669.7,1
sub-007,91,congruent,594.8,1
sub-007,92,incongruent,733.7,1
sub-007,93,congruent,596.5,1
sub-007,94,incongruent,594.6,1
sub-007,95,congruent,387.2,1
sub-007,96,congruent,549.3,1
sub-007,97,incongruent,541.7,1
sub-007,98,incongruent,708.5,0
sub-007,99,congruent,455.0,1
sub-007,100,incongruent,716.0,1
sub-008,1,incongruent,614.7,1
sub-008,2,incongruent,612.1,1
sub-008,3,incongruent,659.1,1
sub-008,4,congruent,505.1,1
sub-008,5,incongruent,606.9,1
sub-008,6,congruent,533.1,1
sub-008,7,congruent,561.2,1
sub-008,8,congruent,594.4,1
sub-008,9,incongruent,609.7,1
sub-008,10,congruent,510.8,1
sub-008,11,congruent,442.6,1
sub-008,12,congruent,609.4,1
sub-008,13,incongruent,748.0,1
sub-008,14,congruent,503.9,1
sub-008,15,incongruent,766.6,0
sub-008,16,incongruent,630.7,1
sub-008,17,congruent,483.9,1
sub-008,18,incongruent,629.4,1
sub-008,19,congruent,526.4,1
sub-008,20,incongruent,686.5,1
sub-008,21,congruent,506.1,1
sub-008,22,incongruent,702.7,1
sub-008,23,incongruent,700.0,1
sub-008,24,congruent,630.9,1
sub-008,25,congruent,483.9,1
sub-008,26,congruent,588.5,1
sub-008,27,incongruent,667.9,1
sub-008,28,incongruent,723.0,1
sub-008,29,incongruent,709.8,1
sub-008,30,incongruent,539.4,0
sub-008,31,congruent,561.1,1
sub-008,32,congruent,445.1,1
sub-008,33,congruent,574.9,1
sub-008,34,congruent,557.8,1
sub-008,35,incongruent,663.6,1
sub-008,36,congruent,579.4,1
sub-008,37,congruent,567.2,1
sub-008,38,incongruent,754.4,1
sub-008,39,congruent,451.5,1
sub-008,40,congruent,586.4,1
sub-008,41,congruent,493.6,0
sub-008,42,congruent,535.4,1
sub-008,43,incongruent,655.6,1
sub-008,44,congruent,527.5,0
sub-008,45,congruent,562.1,1
sub-008,46,congruent,521.7,1
sub-008,47,incongruent,585.2,1
sub-008,48,congruent,668.5,1
sub-008,49,incongruent,682.7,1
sub-008,50,congruent,519.3,1
sub-008,51,congruent,599.2,1
sub-008,52,incongruent,653.9,1
sub-008,53,incongruent,638.2,1
sub-008,54,congruent,649.0,1
sub-008,55,congruent,515.3,1
sub-008,56,congruent,643.7,1
sub-008,57,incongruent,819.9,1
sub-008,58,congruent,451.9,1
sub-008,59,incongruent,573.9,1
sub-008,60,incongruent,669.7,1
sub-008,61,incongruent,746.1,1
sub-008,62,congruent,487.6,1
sub-008,63,incongruent,637.9,0
sub-008,64,incongruent,581.2,1
sub-008,65,incongruent,756.6,0
sub-008,66,congruent,480.0,1
sub-008,67,incongruent,610.9,1
sub-008,68,incongruent,732.8,1
sub-008,69,incongruent,719.3,1
sub-008,70,congruent,540.8,1
sub-008,71,congruent,464.8,1
sub-008,72,incongruent,650.9,1
sub-008,73,incongruent,630.6,1
sub-008,74,incongruent,654.8,1
sub-008,75,incongruent,746.2,1
sub-008,76,incongruent,702.8,1
sub-008,77,congruent,450.2,1
sub-008,78,incongruent,576.8,1
sub-008,79,congruent,553.4,1
sub-008,80,incongruent,707.2,1
sub-008,81,incongruent,626.7,1
sub-008,82,incongruent,606.2,1
sub-008,83,incongruent,562.9,1
sub-008,84,congruent,580.9,1
sub-008,85,incongruent,705.4,1
sub-008,86,congruent,561.5,1
sub-008,87,incongruent,708.4,1
sub-008,88,incongruent,639.2,1
sub-008,89,incongruent,677.3,1
sub-008,90,congruent,495.7,1
sub-008,91,incongruent,638.7,1
sub-008,92,congruent,389.5,1
sub-008,93,congruent,523.9,1
sub-008,94,congruent,561.0,1
sub-008,95,incongruent,719.9,1
sub-008,96,congruent,461.4,1
sub-008,97,congruent,635.1,1
